Attribute Rank,Image Source,Template Mapping,embedded template style
8,https://github.com/mbfark/AEG_Assets/blob/e4642fbb9e70280784eb51ccc3df6d8e21e09260/images/image.linkedinlogo.png,image.linkedinlogo,sig.linkedinlogo
9,https://github.com/mbfark/AEG_Assets/blob/e4642fbb9e70280784eb51ccc3df6d8e21e09260/images/image.mainlogo.png,sig.arklogo
10,https://github.com/mbfark/AEG_Assets/blob/e4642fbb9e70280784eb51ccc3df6d8e21e09260/images/image.grclogo.png,sig.grclogo
,,,
,,,
,,,
,,,
,,,
,,,
,,,
